booked_y_n,LeadId,Surname,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active
0,15642004,Alekseeva,4,Networks,Male,25,Hyderabad,None,2,1,0
0,15712543,Chinweike,5,Direct,Male,39,Surat,Base,2,1,1
0,15584518,Arthur,3,Direct,Female,50,Chennai,Silver,2,1,1
0,15802381,Li,2,Direct,Female,34,Chennai,None,1,1,0
0,15610156,Ma,4,Networks,Male,40,Bangalore,Silver,1,1,0
1,15594408,Chia,3,Organic,Female,48,Bangalore,Platinum,1,0,1
1,15640905,Vasin,3,Organic,Female,35,Hyderabad,Silver,2,1,0
0,15698932,Groves,5,Direct,Male,44,Cochin,Silver,1,0,1
0,15724944,Tien,4,Networks,Male,34,Surat,None,2,1,1
0,15628145,Forwood,4,Networks,Female,43,Chennai,Base,1,1,1
1,15713483,Greeves,5,Organic,Male,52,Bangalore,None,1,0,1
1,15612350,Taylor,4,Networks,Female,31,Chennai,None,1,0,1
0,15800703,Madukwe,2,Organic,Female,21,Chennai,Base,1,1,1
0,15705707,Bennelong,4,Organic,Female,29,Mumbai,Silver,2,0,1
0,15754105,Olisanugo,4,Networks,Male,37,Chennai,Base,1,0,0
0,15703264,Chukwufumnanya,5,Networks,Male,44,Ahmedabad,Base,1,0,1
0,15794413,Harris,2,Networks,Male,32,Kolkata,None,2,1,0
0,15650237,Morgan,5,Organic,Female,32,Surat,None,2,0,1
1,15759618,Alexeeva,3,Networks,Female,48,Ahmedabad,None,1,0,1
0,15811589,Metcalfe,5,Organic,Male,42,Mumbai,None,2,0,1
0,15689044,Humphries,3,Networks,Male,37,Bangalore,Silver,1,0,1
0,15709368,Milne,4,Networks,Female,43,New Delhi,None,2,1,1
1,15679145,Chou,5,Organic,Male,57,Surat,None,1,0,1
0,15655007,Li,5,Networks,Female,33,Surat,None,2,0,0
0,15623595,Clayton,3,Organic,Female,28,Bangalore,None,2,1,1
0,15589975,Maclean,4,Networks,Female,73,New Delhi,None,1,1,0
0,15804017,Chigolum,4,Direct,Female,33,Delhi,Base,1,0,0
0,15692132,Wilkinson,5,Organic,Female,22,New Delhi,None,1,1,0
0,15641122,Wei,4,Networks,Male,30,Bangalore,None,2,0,1
0,15630910,Treacy,5,Networks,Female,49,Surat,Base,1,0,0
0,15680772,Hu,5,Organic,Female,36,Bangalore,None,2,1,1
1,15658929,Taverner,4,Organic,Male,29,Kolkata,Silver,1,0,1
0,15585388,Sherman,4,Direct,Male,31,Ahmedabad,Base,2,1,1
1,15724623,Taubman,5,Direct,Female,24,Surat,Base,1,0,1
0,15588537,Robinson,4,Organic,Female,41,Ahmedabad,Base,1,0,1
1,15574692,Pinto,4,Organic,Female,39,Bangalore,None,2,0,1
0,15611325,Wood,4,Direct,Male,24,Ahmedabad,None,2,0,0
0,15587562,Hawkins,2,Networks,Female,29,Delhi,Silver,1,0,1
0,15613172,Sun,4,Direct,Male,27,Chennai,None,2,0,1
1,15651022,Yost,2,Direct,Male,44,Cochin,Silver,1,0,1
0,15586310,Ting,3,Networks,Male,30,Delhi,Platinum,1,0,1
0,15625524,Rowe,3,Networks,Male,40,Chennai,None,2,1,1
0,15755209,Fu,2,Organic,Female,35,Surat,Silver,1,1,1
0,15645248,Ho,3,Networks,Female,30,Kolkata,None,2,1,1
0,15790355,Okechukwu,4,Direct,Male,36,Chennai,Platinum,2,0,0
0,15762615,Campbell,3,Organic,Female,40,Mumbai,None,1,1,0
1,15625426,Ashbolt,5,Direct,Female,55,Chandigarh,Platinum,1,0,1
0,15716334,Rozier,6,Organic,Female,45,Bangalore,Base,1,1,1
0,15789669,Hsia,3,Networks,Male,65,Bangalore,None,2,1,1
0,15621075,Ogbonnaya,5,Direct,Female,45,Hyderabad,Platinum,2,0,1
0,15810845,T'ang,4,Networks,Male,42,Bangalore,None,2,1,1
1,15719377,Cocci,6,Networks,Female,50,Delhi,None,1,1,1
0,15654506,Chang,3,Networks,Male,32,Mumbai,None,2,0,1
0,15771977,T'ao,5,Networks,Female,39,Hyderabad,None,1,0,1
0,15708710,Ford,3,Organic,Female,37,Kolkata,None,1,1,0
0,15726676,Marshall,4,Organic,Male,30,Chennai,None,2,1,0
0,15587421,Tsai,4,Direct,Female,34,Surat,Base,2,0,1
1,15726931,Onwumelu,5,Networks,Female,41,Mumbai,None,2,0,0
0,15771086,Graham,3,Networks,Female,36,Chandigarh,None,2,0,1
0,15756850,Golovanov,2,Networks,Male,40,Hyderabad,None,2,0,0
0,15702741,Potts,4,Networks,Male,32,Mumbai,None,1,0,1
0,15679200,Crawford,3,Organic,Male,29,Ahmedabad,None,2,0,1
0,15594815,Aleshire,6,Networks,Male,35,Chandigarh,Platinum,1,1,1
0,15635905,Moran,4,Organic,Female,32,New Delhi,None,2,1,1
0,15777892,Samsonova,5,Direct,Male,37,Chandigarh,Base,1,1,1
0,15656176,Jenkins,3,Networks,Male,57,Cochin,None,2,1,1
0,15811127,Volkov,3,Networks,Male,35,New Delhi,None,1,0,1
0,15604482,Chiemezie,6,Organic,Male,30,Bangalore,Silver,1,1,1
0,15622911,Jude,5,Networks,Male,42,Delhi,None,1,1,0
1,15600974,He,3,Organic,Male,50,Chennai,None,1,1,0
1,15727868,Onuora,5,Networks,Female,38,Bangalore,Silver,2,1,1
0,15627801,Ginikanwa,3,Organic,Male,33,Chandigarh,Platinum,1,0,1
0,15773039,Ku,3,Networks,Male,37,Chandigarh,None,1,1,1
1,15755262,McDonald,4,Organic,Female,41,Chandigarh,None,1,0,0
0,15679531,Collins,4,Networks,Male,34,Chennai,Silver,1,1,1
1,15684181,Hackett,4,Networks,Male,45,Chennai,None,1,0,1
0,15612087,Dike,4,Networks,Male,45,Bangalore,None,1,1,0
0,15752047,Trevisano,4,Direct,Male,33,Bangalore,Platinum,2,0,1
0,15624592,Tan,4,Networks,Male,31,Mumbai,None,2,1,1
0,15573152,Glassman,4,Networks,Female,41,Ahmedabad,None,2,0,0
0,15594917,Miller,4,Networks,Female,34,Hyderabad,None,1,1,1
0,15785542,Kornilova,3,Direct,Male,26,Delhi,Base,2,0,0
1,15723488,Watson,4,Direct,Male,47,Surat,Base,1,1,0
0,15680920,Marchesi,4,Networks,Male,46,Surat,None,1,0,1
0,15786308,Millar,5,Organic,Female,33,Ahmedabad,None,2,0,0
1,15659366,Shih,6,Networks,Male,43,Hyderabad,None,2,0,1
1,15774854,Fuller,3,Networks,Male,54,Mumbai,None,1,1,1
0,15725311,Hay,5,Networks,Female,31,Ahmedabad,Base,2,1,1
0,15787155,Yang,3,Organic,Male,30,Surat,None,1,1,0
0,15727829,McIntyre,3,Networks,Male,42,Bangalore,None,2,1,1
1,15733247,Stevenson,6,Networks,Male,33,Cochin,None,1,0,1
1,15568748,Poole,4,Direct,Male,45,New Delhi,None,1,1,1
0,15699029,Bagley,4,Networks,Male,37,Delhi,Platinum,2,0,1
0,15774393,Ch'ien,4,Networks,Female,30,Ahmedabad,None,2,1,1
1,15676895,Cattaneo,3,Direct,Female,39,New Delhi,None,3,1,1
1,15637753,O'Sullivan,5,Direct,Male,50,Bangalore,None,1,0,1
0,15605461,Lucas,3,Direct,Female,29,Chandigarh,Silver,1,0,1
0,15808473,Ringrose,4,Networks,Male,72,Hyderabad,None,2,1,0
0,15627000,Freeman,4,Networks,Male,40,Kolkata,None,2,0,1
0,15787174,Sergeyev,3,Networks,Female,37,Hyderabad,None,2,1,0
0,15723886,Fiore,5,Direct,Male,20,Chandigarh,Base,2,1,0
0,15704769,Smith,3,Networks,Female,67,Chennai,Base,2,1,0
1,15772896,Dumetochukwu,5,Direct,Male,42,New Delhi,None,1,0,1
0,15711540,Pacheco,5,Networks,Female,29,Bangalore,None,1,1,1
1,15764866,Synnot,3,Direct,Female,43,Chandigarh,Base,3,0,1
1,15794056,Johnston,4,Networks,Female,46,Bangalore,None,3,0,1
0,15795149,Stevens,5,Networks,Male,28,Bangalore,None,2,1,0
0,15812009,Grant,4,Organic,Male,38,Delhi,None,2,0,1
0,15651001,Tsao,5,Direct,Female,39,Chennai,Base,1,0,1
0,15813844,Barnes,5,Networks,Male,37,Mumbai,None,2,1,0
1,15596175,McIntosh,4,Direct,Male,67,New Delhi,Base,1,1,1
0,15576269,Madison,3,Organic,Male,34,Surat,None,2,0,1
1,15797219,Ifesinachi,4,Networks,Female,40,Cochin,Base,1,0,1
0,15685500,Glazkov,5,Direct,Male,26,Surat,Gold,2,0,1
0,15599792,Dimauro,3,Networks,Female,26,Hyderabad,None,2,1,1
0,15657566,Wieck,4,Direct,Male,24,Mumbai,None,1,1,1
1,15772423,Liao,5,Direct,Male,54,Mumbai,Silver,1,0,1
0,15628112,Hughes,5,Direct,Female,36,Chennai,None,1,0,0
0,15753754,Morrison,3,Organic,Female,34,Hyderabad,None,2,1,1
0,15793726,Matveyeva,4,Networks,Female,79,Kolkata,None,2,1,0
0,15694717,Ku,3,Direct,Male,37,Bangalore,None,1,1,1
0,15665834,Cheatham,4,Organic,Male,28,Mumbai,None,1,0,0
0,15765297,Yao,5,Organic,Male,41,Kolkata,None,2,1,0
0,15636684,Kirkland,5,Networks,Male,34,Cochin,None,2,1,1
0,15592979,Rose,4,Direct,Female,34,New Delhi,None,2,0,0
0,15750803,Jess,4,Networks,Female,30,New Delhi,Silver,1,1,1
0,15607178,Welch,6,Direct,Male,38,Chandigarh,None,1,1,1
0,15713853,Ifeajuna,5,Direct,Male,42,Ahmedabad,Base,2,1,1
0,15673481,Morton,5,Organic,Female,48,New Delhi,None,1,0,1
0,15686776,Rossi,3,Networks,Female,32,New Delhi,Platinum,2,0,1
0,15673693,Reppert,4,Networks,Female,26,Kolkata,Base,1,1,0
0,15700696,Kang,5,Organic,Male,31,Ahmedabad,None,1,1,1
0,15813163,Ch'iu,3,Organic,Female,36,Ahmedabad,None,1,0,1
0,15653857,Wallis,2,Networks,Male,34,Bangalore,None,2,1,1
0,15777076,Clark,4,Networks,Male,36,Surat,None,2,0,1
1,15717398,Fielding,3,Organic,Female,39,Surat,None,1,0,0
0,15799217,Zetticci,5,Direct,Female,35,Surat,None,1,0,1
0,15787071,Dulhunty,4,Organic,Male,41,Ahmedabad,None,2,1,0
1,15619955,Bevington,5,Direct,Male,34,Chandigarh,None,3,0,1
0,15796505,Boyle,6,Direct,Female,34,Hyderabad,Gold,2,1,1
0,15725166,Newton,5,Networks,Male,30,Mumbai,None,2,0,1
0,15800116,Bowman,5,Direct,Male,28,Delhi,Silver,1,1,0
0,15758685,Dubinina,5,Organic,Female,37,Surat,None,2,1,1
1,15694456,Toscani,5,Networks,Male,62,Chandigarh,None,1,1,1
0,15767339,Chiazagomekpere,5,Networks,Female,53,Cochin,None,2,0,1
0,15683562,Allen,4,Networks,Male,35,New Delhi,None,1,1,0
1,15782210,K'ung,5,Networks,Male,46,Hyderabad,None,1,0,1
0,15668893,Wilsmore,5,Networks,Male,39,Mumbai,None,2,1,1
0,15669169,Hargreaves,5,Organic,Male,29,Cochin,None,2,1,1
1,15643024,Huang,2,Direct,Male,35,Delhi,Silver,1,1,1
0,15699389,Ch'ien,6,Networks,Male,42,Surat,Base,1,1,1
0,15708608,Wallwork,5,Networks,Female,22,Mumbai,Platinum,2,1,0
0,15626144,Chu,4,Networks,Male,40,Surat,Base,2,0,1
0,15573112,Kang,4,Organic,Male,29,Chennai,None,1,0,1
0,15790678,Davidson,2,Networks,Female,32,Mumbai,Base,1,0,1
0,15727556,O'Donnell,5,Organic,Female,26,Chennai,Platinum,1,1,1
0,15697307,Nnachetam,3,Organic,Male,34,Cochin,None,2,0,1
0,15652266,Chidiebele,5,Direct,Male,42,Ahmedabad,None,1,1,0
0,15607098,Ahmed,5,Organic,Female,41,Chennai,None,2,0,1
0,15655774,Booth,3,Networks,Male,27,Surat,None,2,0,1
1,15590241,Chuang,5,Organic,Female,34,Ahmedabad,Base,1,0,0
0,15785819,Shao,4,Networks,Male,38,Chandigarh,None,2,1,1
0,15723654,Tsao,5,Networks,Male,25,Bangalore,Silver,1,0,1
0,15774510,Tien,5,Networks,Female,31,Delhi,Base,1,1,1
1,15684173,Chang,4,Organic,Female,44,Surat,None,3,0,1
0,15650068,Johnson,3,Networks,Male,58,Kolkata,Gold,1,1,1
0,15811490,French,4,Networks,Male,33,Chennai,None,2,1,1
0,15803976,Efremov,4,Networks,Female,31,Cochin,None,2,0,1
0,15682541,Hartley,4,Organic,Female,36,New Delhi,Silver,1,0,0
0,15695699,Calabrese,4,Networks,Male,35,Mumbai,None,2,0,1
0,15624188,Chiu,5,Networks,Female,33,New Delhi,None,2,1,1
0,15812191,Brennan,3,Networks,Male,33,Delhi,Base,1,0,0
0,15636673,Onwuatuegwu,4,Networks,Male,31,Hyderabad,Base,1,1,1
1,15594898,Hewitt,5,Networks,Male,43,Bangalore,None,1,1,1
0,15660211,Shih,4,Direct,Male,35,Surat,Gold,2,0,1
1,15773972,Balashov,4,Networks,Male,50,Delhi,Silver,1,0,1
0,15746726,Doyle,2,Direct,Male,31,Mumbai,None,1,0,1
0,15712287,Pokrovskii,4,Networks,Female,80,Delhi,None,2,1,1
0,15702919,Collins,5,Direct,Male,30,New Delhi,None,1,0,1
0,15674398,Russo,4,Networks,Male,38,Chandigarh,None,2,0,0
0,15797960,Skinner,6,Direct,Female,59,Kolkata,Silver,1,0,1
0,15631868,Robertson,5,Organic,Male,36,Bangalore,Gold,1,1,1
0,15581539,Atkinson,2,Organic,Male,37,Chandigarh,None,2,0,0
1,15662736,Doyle,3,Networks,Male,49,Bangalore,Gold,1,0,1
0,15666252,Ritchie,5,Organic,Male,42,Ahmedabad,None,2,1,1
0,15677512,McEncroe,4,Organic,Female,22,Chandigarh,None,1,0,1
0,15626114,Pearson,2,Networks,Male,24,Delhi,None,1,0,1
0,15810834,Gordon,3,Organic,Female,57,Bangalore,Silver,1,1,1
0,15678910,Ts'ai,4,Networks,Female,30,Mumbai,Silver,1,1,1
1,15694408,Lung,5,Networks,Male,40,Hyderabad,Silver,1,0,1
0,15585215,Yuan,5,Networks,Female,31,Delhi,None,2,0,0
0,15682757,Pardey,5,Networks,Male,30,Chandigarh,None,2,0,1
0,15736601,Tai,5,Networks,Male,35,Delhi,Silver,1,0,1
0,15601848,Scott,3,Networks,Male,35,Bangalore,None,2,0,1
1,15736008,Hunter,4,Networks,Female,46,Ahmedabad,None,1,0,1
0,15669064,Mazzanti,4,Direct,Male,35,Hyderabad,Silver,1,1,1
0,15624528,L?,4,Direct,Male,26,Surat,Base,2,1,1
0,15598493,Beach,4,Networks,Male,50,Surat,None,2,1,0
0,15601274,Hsieh,4,Organic,Female,40,Hyderabad,Gold,1,0,1
0,15702669,Faulkner,4,Direct,Male,44,Bangalore,Base,2,1,0
1,15728669,Knowles,3,Direct,Female,30,Mumbai,Base,1,0,1
0,15742668,Day,4,Organic,Female,37,New Delhi,Base,1,0,1
1,15697441,Hsueh,2,Networks,Male,29,Surat,Platinum,1,0,1
0,15740476,Tsao,4,Direct,Female,32,Chandigarh,Gold,2,1,0
0,15648064,Kennedy,4,Networks,Male,33,Bangalore,None,2,0,1
1,15636624,Nwabugwu,6,Organic,Female,39,Chennai,Platinum,1,0,1
1,15807923,Young,5,Direct,Female,39,Cochin,Base,1,0,1
1,15745844,Kerr,4,Direct,Female,40,New Delhi,Silver,2,1,0
0,15786170,Tien,4,Networks,Male,31,Delhi,Base,1,0,0
0,15681081,Marrero,3,Organic,Female,47,Chennai,None,2,1,1
0,15684484,White,3,Networks,Male,22,Mumbai,None,2,0,0
0,15785869,Pisano,5,Networks,Female,25,Surat,None,2,0,1
0,15763859,Brown,6,Networks,Female,43,Surat,None,2,0,1
0,15658935,Freeman,4,Direct,Female,34,Ahmedabad,Base,2,0,1
0,15747358,Russell,4,Direct,Male,59,Chandigarh,Platinum,1,1,1
0,15735203,Seleznyov,4,Direct,Female,32,Hyderabad,Base,1,1,1
0,15576256,Yusupova,3,Networks,Male,39,Chennai,None,2,1,1
0,15659420,Foley,4,Organic,Male,32,Chandigarh,Base,2,1,1
0,15593365,Shih,5,Organic,Male,39,Bangalore,None,1,1,1
0,15777352,Ikedinachukwu,3,Organic,Female,32,Surat,Platinum,1,0,1
0,15812007,Power,4,Organic,Male,25,New Delhi,None,2,1,1
0,15625461,Amos,4,Networks,Female,45,Hyderabad,Platinum,2,1,1
0,15739438,Reed,3,Networks,Male,30,Kolkata,None,2,0,1
0,15611759,Simmons,6,Organic,Female,57,Mumbai,Silver,2,1,1
1,15661629,Ricci,3,Organic,Male,34,Ahmedabad,Silver,1,0,1
0,15633950,Yen,5,Networks,Male,41,Hyderabad,None,1,1,1
0,15592386,Campbell,3,Networks,Male,58,Chandigarh,None,2,1,0
0,15803716,West,5,Organic,Male,28,Chandigarh,None,2,1,0
1,15696674,Robinson,4,Direct,Female,45,Bangalore,Gold,1,1,0
0,15706365,Bianchi,4,Networks,Female,50,Ahmedabad,None,1,1,1
0,15745088,Chen,2,Direct,Female,29,Ahmedabad,None,2,0,1
0,15676715,Madukaego,4,Networks,Male,68,Ahmedabad,None,2,1,1
0,15613085,Ibrahimova,4,Organic,Female,33,Chandigarh,None,1,1,1
0,15633537,Nolan,3,Direct,Female,42,Ahmedabad,None,2,0,1
0,15594720,Scott,2,Direct,Female,35,Mumbai,None,2,1,1
0,15684042,Blair,4,Direct,Male,34,Bangalore,None,2,1,0
0,15583303,Monaldo,3,Networks,Female,29,Bangalore,Gold,1,0,1
0,15611579,Sutherland,6,Organic,Male,42,Delhi,Silver,1,1,1
0,15774696,Cole,4,Direct,Female,75,Hyderabad,None,2,1,0
0,15694506,Briggs,4,Direct,Male,31,Kolkata,Base,2,1,1
0,15688074,Gregory,6,Direct,Male,31,Hyderabad,Base,1,1,1
0,15759537,Bianchi,5,Direct,Male,35,Surat,None,2,1,1
